Año;Trimestre;Provincia;Mbps (Media de bajada);Trimestre proximo
2018;1;Santiago Del Estero;6.248210722163038;5.9110016469983835
2018;1;Tierra Del Fuego;5.768082036032884;5.942745057375916
2018;1;Tucumán;9.355631684806106;13.506545729627103
2017;4;Buenos Aires;12.9720825438982;14.198889644680946
2017;4;Capital Federal;15.20221886916041;17.74557730418008
2017;4;Catamarca;7.78415435139573;8.198860528714677
2017;4;Chaco;11.702868121959403;12.444064678644967
2017;4;Chubut;5.408238076890145;5.418637938827784
2017;4;Córdoba;11.63658470115664;12.790571217400485
2017;4;Corrientes;10.384400430891967;11.118502865253635
2017;4;Entre Ríos;9.295960619999066;9.875239366998759
2017;4;Formosa;10.114170463766307;11.056815367469506
2017;4;Jujuy;6.638821273566491;6.741185879384532
2017;4;La Pampa;3.9758194449815036;3.995131352064104
2017;4;La Rioja;5.877588849506658;5.890820604111634
2017;4;Mendoza;5.71002586675844;5.881626969169374
2017;4;Misiones;11.324123723249613;12.082189465143012
2017;4;Neuquén;10.719151524540269;11.96045995607415
2017;4;Río Negro;8.045522324672751;8.976243194361576
2017;4;Salta;8.451742767775633;9.1894409821995
2017;4;San Juan;5.832260073010133;5.850581035549749
2017;4;San Luis;5.732208801354054;5.89436270457927
2017;4;Santa Cruz;5.206584828874508;5.1892899508557875
2017;4;Santa Fe;10.297494601847182;11.173305005746002
2017;4;Santiago Del Estero;6.165600214985038;6.248210722163038
2017;4;Tierra Del Fuego;5.203225704536838;5.768082036032884
2017;4;Tucumán;9.106021307187058;9.355631684806106
2017;3;Buenos Aires;8.425706211853651;12.9720825438982
2017;3;Capital Federal;10.635720274073307;15.20221886916041
2017;3;Catamarca;5.260018066713561;7.78415435139573
2017;3;Chaco;8.484871287555498;11.702868121959403
2017;3;Chubut;3.4783469156690874;5.408238076890145
2017;3;Córdoba;9.115572873049981;11.63658470115664
2017;3;Corrientes;7.447416428085263;10.384400430891967
2017;3;Entre Ríos;6.993400639349653;9.295960619999066
2017;3;Formosa;7.06882153411281;10.114170463766307
2017;3;Jujuy;4.689006725369201;6.638821273566491
2017;3;La Pampa;3.4381011143320657;3.9758194449815036
2017;3;La Rioja;5.010090208766659;5.877588849506658
2017;3;Mendoza;3.512962661663036;5.71002586675844
2017;3;Misiones;8.430383025286991;11.324123723249613
2017;3;Neuquén;8.16517738570226;10.719151524540269
2017;3;Río Negro;5.487278804673885;8.045522324672751
2017;3;Salta;6.133146206896552;8.451742767775633
2017;3;San Juan;3.4497842064911834;5.832260073010133
2017;3;San Luis;3.50338739319684;5.732208801354054
2017;3;Santa Cruz;3.610470505758638;5.206584828874508
2017;3;Santa Fe;7.792215148399743;10.297494601847182
2017;3;Santiago Del Estero;5.178558078335373;6.165600214985038
2017;3;Tierra Del Fuego;3.475358271865121;5.203225704536838
2017;3;Tucumán;6.3851768015553985;9.106021307187058
2017;2;Buenos Aires;7.198747751887984;8.425706211853651
2017;2;Capital Federal;8.843219830788254;10.635720274073307
2017;2;Catamarca;5.102182825899711;5.260018066713561
2017;2;Chaco;7.689213433544128;8.484871287555498
2017;2;Chubut;3.44726909222351;3.4783469156690874
2017;2;Córdoba;7.421321799076774;9.115572873049981
